Practice code,Practice name, Opt-out , List Size , Opt-out Rate 
A82058,QUEEN STREET MEDICAL PRACTICE, 185 ," 4,338 ",4.26
A82062,ATKINSON HEALTH CENTRE, 175 ," 5,091 ",3.44
A82064,WESTCROFT HOUSE SURGERY, 151 ," 5,030 ",3.00
A82068,ULVERSTON COMMUNITY HEALTH CENTRE, 328 ," 4,517 ",7.26
A82070,ST. MARY'S SURGERY, 291 ," 6,425 ",4.53
A82071,BURNETT EDGAR MEDICAL CTR, 152 ," 4,211 ",3.61
A82072,RISEDALE SURGERY, 258 ," 6,608 ",3.90
A82075,MANSION HOUSE SURGERY, 163 ," 7,047 ",2.31
A82077,LIVERPOOL HOUSE SURGERY," 4,486 "," 5,228 ",85.81
A82608,SEDBERGH MEDICAL PRACTICE, 258 ," 4,488 ",5.75
A82613,WRAYSDALE HOUSE SURGERY, 23 ," 1,025 ",2.24
A82617,KIRKOSWALD SURGERY, 112 ," 2,698 ",4.15
A82620,GLENRIDDING HEALTH CENTRE, 41 , 923 ,4.44
A82629,THE FAMILY PRACTICE, 451 ," 3,019 ",14.94
A82631,COURT THORN SURGERY, 136 ," 3,605 ",3.77
A82646,LONGTOWN MEDICAL CENTRE, 89 ," 3,533 ",2.52
A82647,CARTMEL SURGERY, 174 ," 3,000 ",5.80
A82650,HAVERTHWAITE SURGERY, 520 ," 2,831 ",18.37
A82651,DUDDON VALLEY MEDICAL PRACTICE, 124 ," 4,806 ",2.58
A82654,WARWICK SQUARE GROUP PRACTICE, 222 ," 7,672 ",2.89
A83001,ST ANDREW'S MEDICAL PRACTICE, 417 ," 14,704 ",2.84
A83003,WILLINGTON MEDICAL GROUP, 346 ," 9,224 ",3.75
A83005,WHINFIELD MEDICAL PRACTICE, 350 ," 12,015 ",2.91
A83006,ORCHARD COURT SURGERY, 348 ," 8,246 ",4.22
A83007,BLACKHALL AND PETERLEE PRACTICE, 291 ," 9,978 ",2.92
A83008,HALLGARTH SURGERY, 104 ," 5,536 ",1.88
A83009,BRIDGE END SURGERY, 579 ," 7,975 ",7.26
A83010,MOORLANDS SURGERY, 442 ," 13,519 ",3.27
A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP," 1,483 "," 33,777 ",4.39
A83012,WILLIAM BROWN CENTRE, 556 ," 16,011 ",3.47
A83013,NEASHAM ROAD SURGERY, 361 ," 12,624 ",2.86
A83014,BELMONT & SHERBURN MEDICAL GROUP, 166 ," 6,427 ",2.58
A83015,STATION VIEW MEDICAL CENTRE, 338 ," 9,954 ",3.40
A83016,TANFIELD VIEW MEDICAL GROUP, 426 ," 10,910 ",3.90
A83018,CONSETT MEDICAL CENTRE, 539 ," 17,722 ",3.04
A83020,NORTH HOUSE SURGERY, 557 ," 13,436 ",4.15
A83021,AUCKLAND MEDICAL GROUP, 398 ," 15,046 ",2.65
A83022,THE MEDICAL GROUP, 991 ," 26,617 ",3.72
A83023,STANLEY MEDICAL GROUP, 407 ," 12,175 ",3.34
A83024,WEST RAINTON SURGERY, 163 ," 5,478 ",2.98
A83025,BISHOPGATE MEDICAL CENTRE, 413 ," 13,202 ",3.13
A83026,SACRISTON MEDICAL CENTRE, 633 ," 10,587 ",5.98
A83027,COXHOE MEDICAL PRACTICE, 394 ," 6,926 ",5.69
A83028,MIDDLE CHARE MEDICAL GROUP, 310 ," 9,407 ",3.30
A83029,GREAT LUMLEY SURGERY, 299 ," 5,158 ",5.80
A83030,DUNELM MEDICAL PRACTICE, 474 ," 14,184 ",3.34
A83031,CARMEL MEDICAL PRACTICE, 470 ," 10,864 ",4.33
A83032,WOODVIEW MEDICAL PRACTICE, 105 ," 2,498 ",4.20
A83033,PELTON & FELLROSE MEDICAL GROUP, 302 ," 9,062 ",3.33
A83034,BLACKETTS MEDICAL PRACTICE, 570 ," 10,299 ",5.53
A83035,THE WEARDALE PRACTICE, 262 ," 7,213 ",3.63
A83036,CHASTLETON MEDICAL GROUP, 527 ," 10,928 ",4.82
A83037,BEWICK CRESCENT SURGERY, 472 ," 13,545 ",3.48
A83038,CEDARS MEDICAL GROUP, 253 ," 5,832 ",4.34
A83040,CLIFTON COURT MEDICAL PRACTICE, 314 ," 11,835 ",2.65
A83041,MURTON MEDICAL CENTRE, 253 ," 7,161 ",3.53
A83043,OLD FORGE SURGERY, 119 ," 2,743 ",4.34
A83044,THE HORDEN GROUP PRACTICE, 290 ," 7,657 ",3.79
A83045,FERRYHILL AND CHILTON MEDICAL PRACTICE, 391 ," 14,975 ",2.61
A83046,BARNARD CASTLE SURGERY, 393 ," 10,756 ",3.65
A83047,DENMARK STREET SURGERY, 406 ," 15,374 ",2.64
A83048,ROCKLIFFE COURT SURGERY, 247 ," 5,879 ",4.20
A83049,QUEENS ROAD SURGERY, 608 ," 14,973 ",4.06
A83050,CESTRIA HEALTH CENTRE, 501 ," 12,730 ",3.94
A83051,MARLBOROUGH SURGERY, 383 ," 10,817 ",3.54
A83052,BISHOPS CLOSE MEDICAL PRACTICE, 632 ," 8,790 ",7.19
A83054,SKERNE MEDICAL GROUP, 534 ," 15,956 ",3.35
A83055,CHEVELEY PARK MEDICAL CTR, 169 ," 4,703 ",3.59
A83057,EAST DURHAM MEDICAL GROUP, 504 ," 18,119 ",2.78
A83060,PINFOLD MEDICAL PRACTICE, 225 ," 2,961 ",7.60
A83061,GAINFORD SURGERY, 96 ," 3,468 ",2.77
A83066,JUBILEE MEDICAL GROUP, 342 ," 11,189 ",3.06
A83070,ST GEORGE'S MEDICAL PRACTICE, 227 ," 5,700 ",3.98
A83071,THE NEW SEAHAM MEDICAL GROUP, 150 ," 4,704 ",3.19
A83072,LANCHESTER MEDICAL CENTRE, 149 ," 4,222 ",3.53
A83073,DRS LAMBERT & NG, 278 ," 5,111 ",5.44
A83074,PEASE WAY MEDICAL CENTRE, 357 ," 12,091 ",2.95
A83075,BYRON MEDICAL PRACTICE, 328 ," 8,484 ",3.87
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH, 83 ," 3,274 ",2.54
A83616,BEVAN MEDICAL GROUP, 188 ," 7,902 ",2.38
A83617,BROWNEY HOUSE SURGERY, 98 ," 2,536 ",3.86
A83618,OAKFIELDS HEALTH GROUP, 348 ," 7,563 ",4.60
A83619,SOUTHDENE MEDICAL CENTRE, 96 ," 3,517 ",2.73
A83622,THE HAVEN SURGERY, 52 ," 1,694 ",3.07
A83626,EVENWOOD MEDICAL PRACTICE, 38 ," 2,123 ",1.79
A83627,SILVERDALE FAMILY PRACTICE, 173 ," 6,203 ",2.79
A83634,WEST CORNFORTH MEDICAL CENTRE, 83 ," 2,783 ",2.98
A83635,BOWBURN MEDICAL CENTRE, 116 ," 4,115 ",2.82
A83636,LEADGATE SURGERY, 281 ," 6,018 ",4.67
A83637,VILLAGES MEDICAL GROUP, 86 ," 4,329 ",1.99
A83641,PARKGATE SURGERY, 101 ," 4,739 ",2.13
A83644,ANNFIELD PLAIN SURGERY, 114 ," 3,541 ",3.22
A84002,THE ROTHBURY PRACTICE, 512 ," 5,979 ",8.56
A84005,BEDLINGTONSHIRE MED.GROUP, 465 ," 12,110 ",3.84
A84006,ALNWICK MEDICAL GROUP, 770 ," 18,877 ",4.08
A84007,PONTELAND MEDICAL GROUP, 757 ," 10,595 ",7.14
A84008,BELFORD MEDICAL PRACTICE, 229 ," 4,491 ",5.10
A84009,RAILWAY MEDICAL GROUP, 772 ," 26,694 ",2.89
A84011,WHITE MEDICAL GROUP, 456 ," 8,086 ",5.64
A84013,THE GABLES MEDICAL GROUP, 223 ," 6,258 ",3.56
A84014,MARINE MEDICAL GROUP, 460 ," 12,787 ",3.60
A84016,PRUDHOE MEDICAL GROUP, 249 ," 6,921 ",3.60
A84018,CORBRIDGE HEALTH CENTRE, 438 ," 7,070 ",6.20
A84020,GUIDEPOST MEDICAL GROUP, 297 ," 8,051 ",3.69
A84022,COQUET MEDICAL GROUP, 489 ," 11,934 ",4.10
A84024,BURN BRAE MEDICAL GROUP, 593 ," 10,105 ",5.87
A84025,CRAMLINGTON MEDICAL GROUP, 875 ," 5,003 ",17.49
A84026,WELL CLOSE MEDICAL GROUP, 280 ," 8,899 ",3.15
A84027,BELLINGHAM PRACTICE, 552 ," 3,399 ",16.24
A84028,SEATON PARK MEDICAL GROUP, 486 ," 18,874 ",2.57
A84029,WIDDRINGTON SURGERY, 163 ," 2,725 ",5.98
A84030,VILLAGE MEDICAL GROUP, 379 ," 9,764 ",3.88
A84031,GREYSTOKE SURGERY, 540 ," 10,148 ",5.32
A84032,CHEVIOT MEDICAL GROUP, 168 ," 2,355 ",7.13
A84033,THE SELE MEDICAL PRACTICE, 489 ," 5,825 ",8.39
A84034,HALTWHISTLE MEDICAL GROUP, 248 ," 5,598 ",4.43
A84035,RIVERSDALE SURGERY, 258 ," 6,034 ",4.28
A84036,VALENS MEDICAL PARTNERSHIP," 3,448 "," 51,857 ",6.65
A84037,NETHERFIELD HOUSE, 208 ," 6,007 ",3.46
A84038,FORUM FAMILY PRACTICE, 392 ," 7,102 ",5.52
A84039,GAS HOUSE LANE SURGERY, 346 ," 6,067 ",5.70
A84040,HUMSHAUGH & WARK MED GRP, 346 ," 3,656 ",9.46
A84042,SCOTS GAP MEDICAL GROUP, 138 ," 2,102 ",6.57
A84044,UNION BRAE & NORHAM PRAC, 256 ," 7,225 ",3.54
A84045,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT, 319 ," 5,417 ",5.89
A84047,BRANCH END SURGERY, 194 ," 5,361 ",3.62
A84604,THE GLENDALE SURGERY, 76 ," 2,301 ",3.30
A84609,FELTON SURGERY, 78 ," 1,733 ",4.50
A84614,THE ADDERLANE SURGERY, 51 ," 1,971 ",2.59
A84619,ELSDON AVENUE SURGERY, 159 ," 3,965 ",4.01
A85001,FELL TOWER MEDICAL CENTRE, 284 ," 7,545 ",3.76
A85002,BENSHAM FAMILY PRACTICE, 116 ," 4,018 ",2.89
A85003,ROWLANDS GILL MEDICAL CENTRE, 890 ," 5,980 ",14.88
A85004,LONGRIGG MEDICAL CENTRE, 631 ," 10,572 ",5.97
A85005,OXFORD TCE & RAWLING RD MEDICAL GROUP, 739 ," 16,214 ",4.56
A85006,GLENPARK MEDICAL CENTRE, 288 ," 9,123 ",3.16
A85007,FELL COTTAGE SURGERY, 382 ," 8,123 ",4.70
A85008,BIRTLEY MEDICAL GROUP, 471 ," 15,804 ",2.98
A85009,CROWHALL MEDICAL CENTRE, 140 ," 6,072 ",2.31
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP, 560 ," 11,310 ",4.95
A85011,ST. ALBANS MEDICAL GROUP, 274 ," 7,560 ",3.62
A85012,METRO INTERCHANGE SURGERY, 54 ," 3,297 ",1.64
A85013,MILLENNIUM FAMILY PRACTICE, 97 ," 3,687 ",2.63
A85014,CRAWCROOK MEDICAL CENTRE, 230 ," 6,923 ",3.32
A85016,WREKENTON MEDICAL GROUP, 364 ," 11,155 ",3.26
A85017,BEWICK ROAD SURGERY, 151 ," 6,994 ",2.16
A85018,OLDWELL SURGERY, 131 ," 4,887 ",2.68
A85019,CENTRAL GATESHEAD MEDICAL GROUP, 370 ," 10,591 ",3.49
A85020,WHICKHAM COTTAGE MEDICAL CENTRE, 688 ," 15,677 ",4.39
A85021,SECOND STREET SURGERY, 65 ," 3,808 ",1.71
A85023,TEAMS MEDICAL PRACTICE, 212 ," 5,676 ",3.74
A85024,CHOPWELL PRIMARY HEALTHCARE CENTRE, 95 ," 2,431 ",3.91
A85026,BEACON VIEW MEDICAL CENTRE, 149 ," 5,060 ",2.94
A85611,PELAW MEDICAL PRACTICE, 212 ," 5,330 ",3.98
A85614,THE BRIDGES MEDICAL PRACTICE, 235 ," 6,199 ",3.79
A85616,HOLLYHURST MEDICAL CENTRE, 251 ," 4,560 ",5.50
A85617,SUNNISIDE SURGERY, 171 ," 3,666 ",4.66
A85620,GRANGE ROAD MEDICAL PRACTICE, 132 ," 4,017 ",3.29
A86003,SAVILLE MEDICAL GROUP," 1,283 "," 39,869 ",3.22
A86004,PROSPECT MEDICAL CENTRE, 499 ," 15,364 ",3.25
A86005,WEST FARM SURGERY, 239 ," 5,987 ",3.99
A86006,ROSEWORTH SURGERY, 270 ," 5,451 ",4.95
A86007,AVENUE MEDICAL PRACTICE, 166 ," 2,738 ",6.06
A86008,PARK MEDICAL GROUP, 586 ," 13,106 ",4.47
A86010,BIDDLESTONE HEALTH GROUP, 575 ," 9,901 ",5.81
A86011,WALKER MEDICAL GROUP, 318 ," 11,011 ",2.89
A86012,WEST ROAD MEDICAL CENTRE, 360 ," 10,391 ",3.46
A86013,DENTON PARK MEDICAL GROUP, 259 ," 7,478 ",3.46
A86016,LANE END SURGERY, 476 ," 9,590 ",4.96
A86017,CRUDDAS PARK SURGERY, 223 ," 10,700 ",2.08
A86018,THE GROVE MEDICAL GROUP, 776 ," 12,783 ",6.07
A86020,THE SURGERY-OSBORNE ROAD, 799 ," 13,119 ",6.09
A86021,HOLMSIDE MEDICAL GROUP, 338 ," 9,598 ",3.52
A86022,PARKWAY MEDICAL GROUP, 447 ," 8,589 ",5.20
A86023,BENFIELD PARK MEDICAL GROUP, 412 ," 8,932 ",4.61
A86024,HEATON ROAD SURGERY, 363 ," 7,523 ",4.83
A86025,WESTERHOPE MEDICAL GROUP, 587 ," 14,354 ",4.09
A86026,THROCKLEY PRIMARY CARE CENTRE, 289 ," 6,761 ",4.27
A86027,NEWCASTLE MEDICAL CENTRE, 347 ," 18,262 ",1.90
A86028,REGENT MEDICAL CENTRE, 192 ," 4,447 ",4.32
A86029,THORNFIELD MEDICAL GROUP, 670 ," 19,887 ",3.37
A86030,BETTS AVENUE MEDICAL GROUP, 333 ," 11,614 ",2.87
A86031,FENHAM HALL SURGERY, 343 ," 9,878 ",3.47
A86033,BRUNTON PARK, 308 ," 6,690 ",4.60
A86035,BROADWAY MEDICAL CENTRE, 106 ," 2,623 ",4.04
A86036,GOSFORTH MEMORIAL MED.CTR, 591 ," 10,808 ",5.47
A86037,ELSWICK FAMILY PRACTICE, 134 ," 7,322 ",1.83
A86038,NEWBURN SURGERY, 284 ," 5,758 ",4.93
A86040,ST. ANTHONY'S HEALTH CENTRE, 232 ," 6,760 ",3.43
A86041,SWARLAND AVENUE SURGERY, 235 ," 6,560 ",3.58
A86601,DENTON TURRET MEDICAL CENTRE, 317 ," 8,793 ",3.61
A87002,SPRING TERRACE HEALTH CENTRE, 242 ," 5,612 ",4.31
A87003,PORTUGAL PLACE HEALTH CTR, 444 ," 10,349 ",4.29
A87004,COLLINGWOOD HEALTH GROUP," 1,065 "," 24,477 ",4.35
A87005,WHITLEY BAY HEALTH CENTRE, 866 ," 12,656 ",6.84
A87006,49 MARINE AVENUE SURGERY, 329 ," 5,832 ",5.64
A87007,FOREST HALL MEDICAL GROUP, 684 ," 18,708 ",3.66
A87008,MARINE AVENUE MEDICAL CTR, 496 ," 8,045 ",6.17
A87009,PRIORY MEDICAL GROUP, 599 ," 15,635 ",3.83
A87011,BEAUMONT PARK SURGERY, 322 ," 6,846 ",4.70
A87012,WIDEOPEN MEDICAL CENTRE, 282 ," 7,650 ",3.69
A87013,BEWICKE MEDICAL CENTRE, 386 ," 9,401 ",4.11
A87016,THE VILLAGE GREEN SURGERY, 521 ," 11,712 ",4.45
A87017,WOODLANDS PARK HEALTH CTR, 257 ," 5,750 ",4.47
A87019,NELSON MEDICAL GROUP, 151 ," 5,130 ",2.94
A87020,MONKSEATON MEDICAL CENTRE, 415 ," 8,901 ",4.66
A87022,NORTHUMBERLAND PARK MEDICAL GROUP, 384 ," 9,225 ",4.16
A87023,BRIDGE MEDICAL, 144 ," 4,914 ",2.93
A87029,PARK ROAD MEDICAL PRACT, 415 ," 9,732 ",4.26
A87030,REDBURN PARK MEDICAL CENTRE, 645 ," 5,689 ",11.34
A87600,PARK PARADE PRACTICE, 224 ," 4,829 ",4.64
A87612,WELLSPRING MEDICAL PRACT., 237 ," 6,118 ",3.87
A87615,MALLARD MEDICAL PRACTICE, 175 ," 4,965 ",3.52
A88001,VICTORIA MEDICAL CENTRE, 132 ," 3,626 ",3.64
A88002,FARNHAM MEDICAL CTR., 632 ," 17,244 ",3.67
A88003,MARSDEN RD. HEALTH CENTRE," 1,246 "," 14,048 ",8.87
A88004,MAYFIELD MEDICAL GROUP, 364 ," 9,231 ",3.94
A88005,WENLOCK ROAD SURGERY, 123 ," 4,505 ",2.73
A88006,TALBOT MEDICAL CENTRE, 303 ," 7,946 ",3.81
A88007,WAWN STREET SURGERY, 275 ," 7,810 ",3.52
A88008,TRINITY MEDICAL CENTRE, 270 ," 6,549 ",4.12
A88009,DR THORNILEY-WALKER & PARTNERS, 276 ," 6,359 ",4.34
A88010,ALBERT ROAD SURGERY, 116 ," 3,024 ",3.84
A88012,ELLISON VIEW SURGERY, 340 ," 6,385 ",5.32
A88013,CENTRAL SURGERY, 736 ," 19,411 ",3.79
A88014,WEST VIEW SURGERY, 92 ," 2,826 ",3.26
A88015,ST GEORGE & RIVERSIDE MEDICAL PRACTICE, 208 ," 7,004 ",2.97
A88016,COLLIERY COURT MEDICAL GROUP, 348 ," 8,166 ",4.26
A88022,THE GLEN MEDICAL GROUP, 485 ," 10,701 ",4.53
A88023,WHITBURN SURGERY, 182 ," 5,344 ",3.41
A88025,THE G.P.SUITE, 279 ," 4,731 ",5.90
A88601,IMEARY STREET PRACTICE, 185 ," 3,999 ",4.63
A88608,RAVENSWORTH SURGERY, 413 ," 5,858 ",7.05
A88613,EAST WING PRACTICE, 157 ," 4,060 ",3.87
A89001,DEERNESS PARK MEDICAL GROUP, 443 ," 13,414 ",3.30
A89002,RIVERVIEW SURGERY, 201 ," 6,871 ",2.93
A89004,HETTON GROUP PRACTICE, 279 ," 11,594 ",2.41
A89005,VILLETTE SURGERY, 231 ," 5,501 ",4.20
A89006,WEARSIDE MEDICAL PRACTICE - PALLION, 198 ," 7,913 ",2.50
A89007,PALLION FAMILY PRACTICE, 296 ," 10,285 ",2.88
A89008,RED HOUSE MEDICAL CENTRE, 177 ," 5,209 ",3.40
A89009,HERRINGTON MEDICAL CENTRE, 350 ," 9,002 ",3.89
A89010,DR STEPHENSON & PARTNERS, 482 ," 12,458 ",3.87
A89011,JOSHI NA, 165 ," 4,504 ",3.66
A89012,GALLERIES MEDICAL PRACTICE, 400 ," 10,924 ",3.66
A89013,THE NEW CITY MEDICAL GROUP, 140 ," 5,081 ",2.76
A89015,"FULWELL MEDICAL CENTRE,", 333 ," 9,102 ",3.66
A89016,ST BEDE MEDICAL CENTRE, 352 ," 8,981 ",3.92
A89017,MILLFIELD MEDICAL GROUP, 501 ," 14,005 ",3.58
A89018,ASHBURN MEDICAL CENTRE, 185 ," 5,082 ",3.64
A89019,BRIDGE VIEW MEDICAL GROUP, 567 ," 14,872 ",3.81
A89020,FORGE MEDICAL PRACTICE, 272 ," 9,435 ",2.88
A89021,KEPIER MEDICAL PRACTICE, 195 ," 8,341 ",2.34
A89022,CONCORD MEDICAL PRACTICE, 228 ," 5,270 ",4.33
A89023,"HOUGHTON MEDICAL GROUP,", 252 ," 7,915 ",3.18
A89024,THE BROADWAY MEDICAL PRACTICE, 246 ," 6,395 ",3.85
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE, 352 ," 11,517 ",3.06
A89026,NEW WASHINGTON MEDICAL GROUP, 270 ," 7,434 ",3.63
A89027,SPRINGWELL MEDICAL GROUP, 272 ," 6,372 ",4.27
A89028,GRANGEWOOD SURGERY, 319 ," 7,199 ",4.43
A89030,WESTBOURNE MEDICAL GROUP, 305 ," 6,403 ",4.76
A89031,HYLTON MEDICAL GROUP, 160 ," 5,360 ",2.99
